FALSA ALARMA |FALSA
FALSA ALARMA - PROBLEMA INTERNO |FALSA-INTERNO
PROBLEMA INTERNO |PI
CLIENTE AUSENTE | CLI NO
CLIENTE PRESENTE | CLI SI
ROTURA DE TOMA DE CONEXION |CORPO
ROTURA DE TUBERIA DE CONEXION |RAM
ROTURA DE TUBERIA MATRIZ DE AGUA |TR AGUA
CAMBIO DE VALVULA |VALVULA
CAMBIO DE M/T DE VALVULA |VALVULA M/T
RESERVORIO EN RECUPERACION DE NIVELES |RESERVORIO
AFECTADO POR TRABAJOS DE CORTE PROGRAMADO |PROGRAMADO
CAM LLAVE |CAM
CDM LLAVE |CDM
CAMBIO DE M/T DE CAJA DE CONTROL, SE PASA A VEOLIA|M/T-VEOLIA
CAMBIO DE LLAVES CAM/CDM, SE PASA A VEOLIA|CAM/CDM-VEOLIA
SE PASA A VEOLIA |VEOLIA
SE PASA A ACEA |ACEA
MATRIZ CORRIENTE |MATRIZ CORI
CONEXION CORRIENTE |CNX CORI
MATRIZ Y CONEXION CORRIENTE |M/C CORI
DESATORO EN LA MATRIZ |ATD
DESATORO EN LA CONEXION |ACD
DESATORO EN LA MATRIZ Y CONEXION | ATD/ACD
COLECTOR ROTO | COLE ROTO
CONEXION ROTA | CNX ROTA
DEJA MARCA EN BERMA | MARCA BERMA
PIQUE EXPLORATORIO EN LINEA DE CONEXION |PIQUE CONEXION
PIQUE EXPLORATORIO EN LINEA MATROZ |PIQUE MATRIZ
LIMPIEZA DE COLECTOR CON MAQUINA HIDROJET |HIDROJET
CLIENTE TIENE QUE DESCUBRIR SU ULTIMA CAJA |DESCUBRIR
CAMBIO DE M/T DE BUZON | M/T BUZON
CAMBIO DE TAPA SOLA DE BUZON| T BUZON
CAMBIO DE M/T DE CAJA DE REGISTRO |M/T REGISTRO
CAMBIO DE TAPA DE CAJA DE REGISTRO |T REGISTRO
CAMBIO DE CAJA DE DESAGUE COMPLETA |CAJA COMPLETA
SE PROGRAMA LIMPIEZA Y DESINFENCION DE PREDIO |LIMPIEZA
